premise,conclusion,support,delta_stability
"{'price_num_high', 'region_clean_Other', 'char::Vanilla', 'Type_Red'}",{'Closure_Natural Cork'},39,4
"{'char::Red Fruit', 'Closure_Natural Cork', 'avg_harvest_start_to_2007_missing', 'char::Vanilla'}",{'region_clean_Other'},56,6
"{'char::Black Fruit', 'char::Red Fruit', 'avg_harvest_start_to_2007_missing', 'abv_num_mid'}",{'region_clean_Other'},42,10
"{'Country_France', 'char::Strawberry', 'char::Raspberry', 'abv_num_low', 'Style_Other'}",{'Type_Rosé'},46,1
"{'char::Lemon', 'region_clean_Burgundy'}","{'Type_White', 'grape::Chardonnay'}",44,9
"{'Country_France', 'char::Citrus Fruit', 'price_num_high', 'abv_num_low'}",{'Type_White'},48,4
"{'char::Lemon', 'region_clean_Marlborough'}","{'Type_White', 'Closure_Screwcap'}",39,4
"{'char::Lemon', 'Style_Crisp & Zesty', 'char::Green Apple'}","{'Closure_Screwcap', 'avg_harvest_start_to_2007_missing'}",47,8
"{'Country_France', 'region_clean_Unknown', 'Style_Other'}","{'Closure_Natural Cork', 'abv_num_low'}",40,2
"{'Country_France', 'region_clean_Unknown', 'vintage_year_missing'}","{'Closure_Natural Cork', 'abv_num_low'}",67,4
"{'region_clean_Unknown', 'Closure_Natural Cork', 'grape::Chardonnay', 'Style_Rich & Toasty'}",{'price_num_high'},42,1
"{'price_num_high', 'grape::Chardonnay', 'vintage_year_missing'}",{'abv_num_low'},59,15
"{'price_num_high', 'char::Citrus Fruit', 'vintage_year_missing'}","{'Closure_Natural Cork', 'abv_num_low'}",41,2
"{'char::Citrus Fruit', 'Closure_Natural Cork', 'grape::Chardonnay', 'avg_harvest_start_to_2007_missing', 'price_num_high'}",{'abv_num_low'},42,1
"{'char::Red Fruit', 'Style_Savoury & Full Bodied', 'avg_harvest_start_to_2007_missing', 'char::Vanilla'}",{'region_clean_Other'},38,1
"{'char::Black Fruit', 'char::Red Fruit', 'Closure_Natural Cork', 'char::Vanilla'}",{'region_clean_Other'},45,3
"{'char::Black Fruit', 'char::Red Fruit', 'char::Vanilla', 'vintage_year_low'}",{'region_clean_Other'},43,1
"{'Country_France', 'region_clean_Unknown', 'char::Citrus Fruit'}","{'Type_White', 'Closure_Natural Cork', 'abv_num_low'}",44,1
"{'char::Lemon', 'grape::Sauvignon Blanc', 'Closure_Screwcap', 'char::Green Apple'}",{'Style_Crisp & Zesty'},39,5
"{'char::Lemon', 'grape::Sauvignon Blanc', 'avg_harvest_start_to_2007_missing', 'char::Green Apple'}",{'Style_Crisp & Zesty'},39,5
"{'Country_France', 'region_clean_Unknown', 'grape::Chardonnay', 'Style_Rich & Toasty'}",{'price_num_high'},41,1
"{'Country_France', 'vintage_year_missing', 'price_num_high'}","{'region_clean_Unknown', 'Closure_Natural Cork', 'abv_num_low'}",63,17
"{'Country_France', 'grape::Chardonnay', 'avg_harvest_start_to_2007_missing', 'abv_num_low', 'price_num_high'}",{'region_clean_Unknown'},62,10
"{'Country_France', 'grape::Chardonnay', 'vintage_year_missing'}","{'region_clean_Unknown', 'abv_num_low'}",45,2
"{'region_clean_Unknown', 'abv_num_low', 'grape::Chardonnay', 'Style_Rich & Toasty'}",{'price_num_high'},41,1
"{'price_num_high', 'region_clean_Unknown', 'char::Citrus Fruit'}","{'Country_France', 'Type_White', 'Closure_Natural Cork', 'abv_num_low'}",43,11
