,{},"{'Grape': {'Sauvignon Blanc', 'Tempranillo', 'Cabernet Sauvignon', 'Merlot', 'Pinot Noir', 'Shiraz', 'Grenache', 'Chardonnay', 'Malbec'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Tempranillo', 'Cabernet Sauvignon', 'Merlot', 'Pinot Noir', 'Grenache', 'Chardonnay', 'Shiraz'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Tempranillo', 'Cabernet Sauvignon', 'Merlot', 'Pinot Noir', 'Grenache', 'Chardonnay', 'Malbec'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Tempranillo', 'Cabernet Sauvignon', 'Pinot Noir', 'Grenache', 'Chardonnay', 'Malbec', 'Shiraz'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Merlot', 'Cabernet Sauvignon', 'Pinot Noir', 'Grenache', 'Chardonnay', 'Malbec', 'Shiraz'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Chardonnay', 'Tempranillo', 'Cabernet Sauvignon', 'Merlot', 'Pinot Noir', 'Grenache'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Chardonnay', 'Shiraz', 'Tempranillo', 'Cabernet Sauvignon', 'Pinot Noir', 'Grenache'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Tempranillo', 'Cabernet Sauvignon', 'Merlot', 'Pinot Noir', 'Shiraz', 'Grenache', 'Chardonnay', 'Malbec'}, 'Type': {'White', 'Red'}}","{'Grape': {'Sauvignon Blanc', 'Tempranillo', 'Cabernet Sauvignon', 'Merlot', 'Pinot Noir', 'Chardonnay', 'Malbec', 'Shiraz'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Tempranillo', 'Merlot', 'Pinot Noir', 'Grenache', 'Chardonnay', 'Malbec', 'Shiraz'}, 'Type': {'White', 'Red', 'Rosé'}}"
1030,1,1,1,1,1,1,1,1,1,1,1
1031,1,1,1,1,1,1,1,1,1,1,1
1032,1,1,1,1,0,1,1,0,1,1,1
1033,1,1,1,1,0,1,1,0,1,1,1
1034,1,1,1,1,1,1,1,1,1,1,0
1035,1,1,1,1,1,1,1,1,1,1,1
1036,1,1,1,1,1,1,1,1,1,1,1
1037,1,0,0,0,0,0,0,0,0,0,0
1038,1,1,1,1,0,1,1,0,1,1,1
1039,1,1,1,1,1,1,1,1,1,1,0
1040,1,1,1,1,0,1,1,0,1,1,1
1041,1,0,0,0,0,0,0,0,0,0,0
1042,1,1,1,1,1,1,1,1,1,1,0
1043,1,1,1,1,1,1,1,1,1,1,1
1044,1,1,1,1,1,1,1,1,1,1,1
1045,1,1,1,1,1,1,1,1,1,1,0
1046,1,1,1,1,1,1,1,1,1,1,0
1047,1,1,1,1,1,1,1,1,1,1,0
1048,1,1,1,1,1,1,1,1,0,0,1
1049,1,1,1,1,1,1,1,1,1,1,1
1050,1,0,0,0,0,0,0,0,0,0,0
1051,1,0,0,0,0,0,0,0,0,0,0
1052,1,1,1,1,1,1,1,1,1,1,1
1053,1,0,0,0,0,0,0,0,0,0,0
1054,1,1,1,1,1,1,1,1,1,0,1
1055,1,1,1,1,1,0,1,1,1,1,1
1056,1,0,0,0,0,0,0,0,0,0,0
1057,1,1,1,1,1,1,1,1,1,1,1
1058,1,0,0,0,0,0,0,0,0,0,0
1059,1,1,1,1,1,1,1,1,1,1,1
1060,1,1,1,1,1,1,1,1,1,1,1
1061,1,1,1,1,1,1,1,1,1,1,1
1062,1,1,1,1,1,1,1,1,1,1,1
1063,1,1,1,1,1,1,1,1,1,1,1
1064,1,1,1,1,1,1,1,1,1,1,1
1065,1,1,1,1,1,1,1,1,1,1,1
1066,1,1,1,1,1,1,1,1,1,0,1
1067,1,1,1,1,1,1,1,1,1,1,1
1068,1,0,0,0,0,0,0,0,0,0,0
1069,1,1,1,1,1,1,1,1,1,1,1
1070,1,1,1,1,1,1,1,1,1,1,1
1071,1,0,0,0,0,0,0,0,0,0,0
1072,1,0,0,0,0,0,0,0,0,0,0
1073,1,0,0,0,0,0,0,0,0,0,0
1074,1,1,1,1,1,1,1,1,1,1,1
1075,1,1,1,1,1,1,1,1,1,1,1
1076,1,0,0,0,0,0,0,0,0,0,0
1077,1,1,1,1,1,1,1,1,1,1,1
1078,1,1,1,1,1,1,1,1,1,1,1
1079,1,1,1,1,1,1,1,1,1,1,1
1080,1,0,0,0,0,0,0,0,0,0,0
1081,1,0,0,0,0,0,0,0,0,0,0
1082,1,0,0,0,0,0,0,0,0,0,0
1083,1,1,1,1,1,1,1,1,1,1,1
1084,1,1,0,1,1,1,0,0,1,1,1
1085,1,0,0,0,0,0,0,0,0,0,0
1086,1,1,1,1,1,1,1,1,1,1,1
1087,1,1,1,1,1,1,1,1,1,1,1
1088,1,1,1,1,1,1,1,1,1,1,1
1089,1,1,1,1,1,1,1,1,1,1,1
1090,1,0,0,0,0,0,0,0,0,0,0
1091,1,1,1,1,1,1,1,1,1,1,0
1092,1,0,0,0,0,0,0,0,0,0,0
1093,1,1,1,1,1,1,1,1,1,1,1
1094,1,1,1,1,1,1,1,1,1,1,1
1095,1,1,1,1,1,1,1,1,1,1,1
1096,1,0,0,0,0,0,0,0,0,0,0
1097,1,1,1,1,1,1,1,1,1,1,1
1098,1,0,0,0,0,0,0,0,0,0,0
1099,1,1,1,1,1,1,1,1,1,1,1
1100,1,1,1,1,1,1,1,1,1,1,1
1101,1,1,1,0,1,1,0,1,1,1,1
1102,1,1,1,1,1,1,1,1,1,1,0
1103,1,0,0,0,0,0,0,0,0,0,0
1104,1,0,0,0,0,0,0,0,0,0,0
1105,1,1,1,1,1,1,1,1,1,1,1
1106,1,1,1,1,1,1,1,1,1,1,1
1107,1,0,0,0,0,0,0,0,0,0,0
1108,1,1,1,1,1,1,1,1,1,1,0
1109,1,1,1,1,1,0,1,1,1,1,1
1110,1,1,1,1,1,1,1,1,1,0,1
1111,1,1,1,1,1,1,1,1,1,1,1
1112,1,1,1,1,1,1,1,1,1,1,1
1113,1,1,1,1,1,1,1,1,1,1,1
1114,1,1,0,1,1,1,0,0,1,1,1
1115,1,1,1,1,1,1,1,1,1,1,1
1116,1,0,0,0,0,0,0,0,0,0,0
1117,1,1,1,1,1,1,1,1,1,0,1
1118,1,1,1,1,1,1,1,1,1,1,0
1119,1,1,1,1,1,1,1,1,1,0,1
1120,1,1,1,1,1,1,1,1,1,0,1
1121,1,0,0,0,0,0,0,0,0,0,0
1122,1,1,1,1,1,0,1,1,1,1,1
1123,1,1,1,1,1,1,1,1,1,1,1
1124,1,1,1,1,1,1,1,1,1,1,1
1125,1,1,1,1,1,1,1,1,1,1,1
1126,1,1,1,1,1,1,1,1,1,1,1
1127,1,1,1,1,1,1,1,1,1,1,0
1128,1,1,1,1,1,1,1,1,1,1,1
1129,1,1,1,1,1,1,1,1,1,1,1
1130,1,1,1,1,1,1,1,1,1,1,1
1131,1,1,1,1,1,1,1,1,1,1,1
1132,1,1,1,1,1,1,1,1,1,1,1
1133,1,0,0,0,0,0,0,0,0,0,0
1134,1,0,0,0,0,0,0,0,0,0,0
1135,1,0,0,0,0,0,0,0,0,0,0
1136,1,0,0,0,0,0,0,0,0,0,0
1137,1,0,0,0,0,0,0,0,0,0,0
1138,1,0,0,0,0,0,0,0,0,0,0
1139,1,0,0,0,0,0,0,0,0,0,0
1140,1,0,0,0,0,0,0,0,0,0,0
1141,1,0,0,0,0,0,0,0,0,0,0
1142,1,0,0,0,0,0,0,0,0,0,0
1143,1,0,0,0,0,0,0,0,0,0,0
1144,1,0,0,0,0,0,0,0,0,0,0
1145,1,1,1,1,1,1,1,1,1,1,1
1146,1,0,0,0,0,0,0,0,0,0,0
1147,1,1,1,1,1,0,1,1,1,1,1
1148,1,1,1,1,1,0,1,1,1,1,1
1149,1,0,0,0,0,0,0,0,0,0,0
1150,1,0,0,0,0,0,0,0,0,0,0
1151,1,1,1,1,1,1,1,1,1,1,1
1152,1,1,1,1,1,1,1,1,0,1,1
1153,1,1,1,1,1,1,1,1,0,0,1
1154,1,1,1,1,1,1,1,1,1,1,0
1155,1,1,0,1,1,1,0,0,1,1,1
1156,1,0,0,0,0,0,0,0,0,0,0
1157,1,0,0,0,0,0,0,0,0,0,0
1158,1,1,1,1,1,1,1,1,1,1,1
1159,1,1,1,1,1,1,1,1,0,1,1
1160,1,1,1,1,1,0,1,1,1,1,1
1161,1,1,1,1,1,0,1,1,1,1,1
1162,1,1,1,1,1,1,1,1,1,1,1
1163,1,0,0,0,0,0,0,0,0,0,0
1164,1,0,0,0,0,0,0,0,0,0,0
1165,1,0,0,0,0,0,0,0,0,0,0
1166,1,0,0,0,0,0,0,0,0,0,0
1167,1,1,1,1,1,1,1,1,1,1,1
1168,1,1,1,1,1,1,1,1,1,1,0
1169,1,1,0,1,1,1,0,0,1,1,1
1170,1,1,1,1,0,1,1,0,1,1,1
1171,1,1,1,1,1,1,1,1,1,1,1
1172,1,1,1,1,1,1,1,1,1,1,1
1173,1,0,0,0,0,0,0,0,0,0,0
1174,1,0,0,0,0,0,0,0,0,0,0
1175,1,1,1,1,1,1,1,1,1,1,1
1176,1,0,0,0,0,0,0,0,0,0,0
1177,1,0,0,0,0,0,0,0,0,0,0
1178,1,0,0,0,0,0,0,0,0,0,0
1179,1,0,0,0,0,0,0,0,0,0,0
1180,1,1,1,1,1,1,1,1,1,1,0
1181,1,1,1,1,1,1,1,1,1,1,1
1182,1,1,1,0,1,1,0,1,1,1,1
1183,1,1,1,1,1,1,1,1,1,1,1
1184,1,0,0,0,0,0,0,0,0,0,0
1185,1,1,1,0,1,1,0,1,1,1,1
1186,1,0,0,0,0,0,0,0,0,0,0
1187,1,1,1,1,1,1,1,1,1,1,0
1188,1,1,1,0,1,1,0,1,1,1,1
1189,1,1,1,0,1,1,0,1,1,1,1
1190,1,0,0,0,0,0,0,0,0,0,0
1191,1,0,0,0,0,0,0,0,0,0,0
1192,1,1,1,1,1,1,1,1,1,1,1
1193,1,0,0,0,0,0,0,0,0,0,0
1194,1,0,0,0,0,0,0,0,0,0,0
1195,1,1,1,1,1,1,1,1,1,0,1
1196,1,0,0,0,0,0,0,0,0,0,0
1197,1,1,1,1,1,1,1,1,1,1,1
1198,1,0,0,0,0,0,0,0,0,0,0
1199,1,1,1,1,1,1,1,1,1,1,1
1200,1,0,0,0,0,0,0,0,0,0,0
1201,1,1,1,1,1,1,1,1,1,1,1
1202,1,1,1,1,1,1,1,1,1,1,1
1203,1,1,1,1,1,1,1,1,1,1,1
1204,1,1,1,1,1,1,1,1,1,1,1
1205,1,1,1,0,1,1,0,1,1,1,1
1206,1,0,0,0,0,0,0,0,0,0,0
1207,1,0,0,0,0,0,0,0,0,0,0
1208,1,1,1,1,1,1,1,1,1,1,1
1209,1,1,1,1,1,0,1,1,1,1,1
1210,1,1,1,1,1,0,1,1,1,1,1
1211,1,1,1,1,1,0,1,1,1,1,1
1212,1,0,0,0,0,0,0,0,0,0,0
1213,1,1,1,1,1,1,1,1,1,1,1
1214,1,0,0,0,0,0,0,0,0,0,0
1215,1,0,0,0,0,0,0,0,0,0,0
1216,1,1,1,1,1,1,1,1,1,0,1
1217,1,1,1,1,1,1,1,1,1,1,1
1218,1,0,0,0,0,0,0,0,0,0,0
1219,1,1,1,1,1,1,1,1,1,1,1
1220,1,0,0,0,0,0,0,0,0,0,0
1221,1,0,0,0,0,0,0,0,0,0,0
1222,1,1,1,1,1,1,1,1,1,1,1
1223,1,1,1,1,1,1,1,1,1,1,1
1224,1,0,0,0,0,0,0,0,0,0,0
1225,1,0,0,0,0,0,0,0,0,0,0
1226,1,1,1,1,1,1,1,1,1,1,1
1227,1,1,1,1,1,1,1,1,1,1,0
1228,1,0,0,0,0,0,0,0,0,0,0
1229,1,1,1,1,1,1,1,1,1,1,1
1230,1,1,1,0,1,1,0,1,1,1,1
1231,1,1,1,1,1,1,1,1,1,1,0
1232,1,0,0,0,0,0,0,0,0,0,0
1233,1,0,0,0,0,0,0,0,0,0,0
1234,1,1,1,1,1,1,1,1,1,1,1
1235,1,1,1,0,1,1,0,1,1,1,1
1236,1,1,1,1,1,1,1,1,1,1,0
1237,1,1,1,1,0,1,1,0,1,1,1
1238,1,1,1,1,1,1,1,1,1,1,1
1239,1,1,1,1,1,1,1,1,1,1,1
1240,1,1,1,1,1,1,1,1,1,1,1
1241,1,1,1,1,1,1,1,1,1,1,1
1242,1,0,0,0,0,0,0,0,0,0,0
1243,1,0,0,0,0,0,0,0,0,0,0
1244,1,0,0,0,0,0,0,0,0,0,0
1245,1,1,1,1,1,1,1,1,1,1,0
1246,1,1,1,1,1,1,1,1,1,1,1
1247,1,1,1,1,1,1,1,1,1,1,1
1248,1,0,0,0,0,0,0,0,0,0,0
1249,1,1,1,1,1,1,1,1,1,1,1
1250,1,1,1,1,1,0,1,1,1,1,1
1251,1,1,1,1,1,1,1,1,1,1,1
1252,1,1,1,1,1,1,1,1,1,1,1
1253,1,1,1,1,1,1,1,1,0,1,1
1254,1,1,1,1,1,1,1,1,1,1,0
1255,1,1,1,1,1,1,1,1,1,1,1
1256,1,1,1,1,1,0,1,1,1,1,1
1257,1,0,0,0,0,0,0,0,0,0,0
1258,1,1,1,0,1,1,0,1,1,1,1
1259,1,1,1,0,1,1,0,1,1,1,1
1260,1,1,1,1,1,0,1,1,1,1,1
1261,1,0,0,0,0,0,0,0,0,0,0
1262,1,0,0,0,0,0,0,0,0,0,0
1263,1,0,0,0,0,0,0,0,0,0,0
1264,1,0,0,0,0,0,0,0,0,0,0
1265,1,1,1,0,1,1,0,1,1,1,1
1266,1,0,0,0,0,0,0,0,0,0,0
1267,1,1,1,1,1,1,1,1,1,1,1
1268,1,0,0,0,0,0,0,0,0,0,0
1269,1,1,1,1,1,1,1,1,1,1,1
1270,1,1,1,1,1,1,1,1,0,1,1
1271,1,1,1,1,1,1,1,1,1,1,1
1272,1,0,0,0,0,0,0,0,0,0,0
1273,1,0,0,0,0,0,0,0,0,0,0
1274,1,1,1,1,1,0,1,1,1,1,1
1275,1,1,1,1,1,1,1,1,1,1,1
1276,1,0,0,0,0,0,0,0,0,0,0
1277,1,0,0,0,0,0,0,0,0,0,0
1278,1,1,0,1,1,1,0,0,1,1,1
1279,1,0,0,0,0,0,0,0,0,0,0
1280,1,1,1,1,1,1,1,1,0,1,1
1281,1,1,1,1,1,1,1,1,1,1,0
1282,1,1,1,1,1,1,1,1,1,1,0
1283,1,0,0,0,0,0,0,0,0,0,0
